,file,timestamp,summonerName,participantId,puuid,championId,teamId,individualPosition,assists,kills,deaths,champLevel,goldEarned,totalMinionsKilled,neutralMinionsKilled,visionScore,wardsPlaced,detectorWardsPlaced,wardsKilled,totalHeal,totalDamageDealt,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalDamageTaken,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,turretKills,turretTakedowns,inhibitorKills,inhibitorTakedowns,win,timePlayed,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,killingSprees,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,12AssistStreakCount,itemsPurchased,longestTimeSpentLiving,visionWardsBoughtInGame,consumablesPurchased,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts
54,all_matches.json,,,5,x1VNMjGfekCCt3kY4vkmK5hlNMsU701WNDOICUzlwLRVR7d65dmFzvKwV86WwTXdem3qtcjxO9etYg,518,100,UTILITY,20,4,6,14,9971,52,0,57,26,5,2,5691,76554,21561,19417,2144,0,26538,11617,8671,3050,0,5,0,2,True,1731,False,True,False,False,2,2,1,0,0,0,0,0,,22,548,5,7,92,133,54,9,7,5
55,all_matches.json,,,6,efg-0FUrnMNjiFj1IR_mI-4eq65bGJpwcpRkMBlrN4-CTPzBVqTTLJSkR_aJtF4q6dvmZCu7c84zmw,799,200,TOP,6,2,8,15,10535,219,4,23,8,4,1,6093,153948,20862,830,19989,42,35562,35178,1844,0,0,0,0,0,False,1731,False,False,False,False,0,0,1,0,0,0,0,0,,29,464,4,5,140,42,74,9,4,3
56,all_matches.json,,,7,JBkqpg4lck-DQKNtIo4YM3IQURkFHnMFvbVXIGjx94-o_m66VSf1mDkK6KJwymtGs4wa2LdwTYM21Q,77,200,JUNGLE,5,7,10,14,11022,13,152,17,7,1,1,16426,206285,22953,17921,3996,1035,43363,54772,7846,222,0,1,0,0,False,1731,False,False,False,False,0,0,1,0,0,0,0,0,,22,358,1,1,88,113,155,173,5,17
57,all_matches.json,,,8,G-J0bcCtWKwX3NQcsrsnXOkdfxBYHKCrI_oCaLAkCT5Iew5fDfkSn90l-ltC5fosEgS40R_BZgVPcg,134,200,MIDDLE,1,9,4,18,17254,292,0,18,9,1,1,1360,201823,29142,23783,2353,3005,15666,9390,9402,8532,3,3,0,0,False,1731,False,False,False,False,2,6,1,0,0,0,0,0,,19,757,1,3,170,158,45,11,5,5
58,all_matches.json,,,9,wZ4Q6ERa2AxwHBNGvMc69G67g_Zld5xWtXIqY7R8Zq2HlnaZYJP8eQmoxT7j1appIEXmFQVG6sZQeg,18,200,BOTTOM,6,4,14,14,10385,159,1,21,9,0,4,4315,122436,29442,3423,25286,732,32493,15497,258,258,0,0,0,0,False,1731,False,False,False,False,0,0,1,0,0,0,0,0,,18,212,0,1,32,39,43,8,4,6
59,all_matches.json,,,10,ANavIsgvJUblFHdhCGQTDIj4ygD0mFHDZW3XHiOYUPI5NsNUb2QwRILfalAmozNnBbYw_73Llag6Og,412,200,UTILITY,10,2,8,12,7332,13,0,69,37,6,4,2152,11889,7363,4576,1572,1213,25673,21096,493,94,0,1,0,0,False,1731,False,False,False,False,1,2,1,0,0,0,0,0,,26,560,7,9,38,25,18,15,14,7
60,all_matches.json,,,1,RqYXo0KImPSfxEO52vpUv8mj_qVtRVYzoJ7oOl06m48pB8Jg9IoNLV7tm81uzKFcOa9O5LAZ7vUpJQ,76,100,TOP,0,3,5,14,10800,195,0,20,5,1,3,7031,116942,14600,8114,5279,1206,23594,17996,8499,7909,2,2,0,0,False,1420,False,False,False,False,1,3,1,0,0,0,0,0,,16,485,1,2,87,203,81,126,3,3
61,all_matches.json,,,2,ajEBAJhXVcgnNfn0NQnJLa63O49gAls42X1Hkg_u5eZU4wKTNGL0Txa97KjPbrrzgfKVYKFWq9kXFQ,59,100,JUNGLE,2,1,8,13,9345,17,153,30,8,0,8,7456,184568,8842,523,7570,749,23500,26965,502,502,0,0,0,0,False,1420,False,False,False,False,0,0,1,0,0,0,0,0,,17,401,0,0,97,61,78,5,2,12
62,all_matches.json,,,3,IW4envruiFj7Z3xAcGQdbD99tKKoTbFIDOXpYLHpxzfnJx4cPHud0e6-TbrgqL0DoplWiWu8Lig0pg,134,100,MIDDLE,0,2,4,14,9635,208,0,14,8,1,0,753,115085,14364,12740,479,1144,10576,5058,1154,843,0,0,0,0,False,1420,False,False,False,False,0,0,1,0,0,0,0,0,,14,602,1,3,124,126,42,3,3,2
63,all_matches.json,,,4,OLERamRBzUJHrQGmuTTOQxdQjjSwiWB0eRam71fP56pRD_p0dL9Uue8NHj1KSsyTDuACNmAZWA8luA,895,100,BOTTOM,1,0,9,13,8673,191,0,11,7,0,1,2948,100965,8824,0,8732,92,20518,9797,4320,4320,2,2,0,0,False,1420,False,False,False,False,0,0,0,0,0,0,0,0,,19,401,0,1,87,20,25,5,2,3
64,all_matches.json,,,5,s49suvGNcVsa5fpDnh8wwLRgnC4Hud6eaVQurIVmloU0W8ZngJabpuxBlnM2Xcd6Xy_PHRyyFf_MEA,78,100,UTILITY,3,1,4,11,6560,20,2,68,27,5,11,2014,20797,7649,575,6227,846,17546,11946,190,190,0,0,0,0,False,1420,False,False,False,False,0,0,1,0,0,0,0,0,,19,609,5,7,31,13,12,2,1,4
65,all_matches.json,,,6,PwqBrNMi-_URy12C1009BV07L2-R4WgQtCI1u6P-KSBTOVEPyjkK7iz3dWN9dWqlF6j_HjJHyxCviQ,39,200,TOP,4,2,1,15,11554,213,4,15,8,2,2,7492,137352,9213,2367,6846,0,15574,10765,12128,11964,5,6,1,1,True,1420,False,False,False,False,0,0,1,0,0,0,0,0,,19,773,2,3,209,17,42,5,4,2
66,all_matches.json,,,7,Qqo51QI7dyN1fWZvchr7o85AluWmkQWYIKBObNfp2MIg-VpGwG2p2D-o6kk7GSiwP8epVMEZENTMrA,5,200,JUNGLE,9,3,3,14,9971,10,143,27,4,2,4,22387,209341,12416,795,11190,430,32696,18524,45633,3134,2,4,0,0,True,1420,False,False,False,False,0,0,1,0,0,0,0,0,,16,601,3,3,81,115,0,5,15,4
67,all_matches.json,,,8,WGo81hQ-jUtrWyJBCr1H-SEOe88bvzPeErZFvf0zIVJBeQdSJU8BO6l8NEhySgWRM_G31R74rc8pHQ,31,200,MIDDLE,5,10,1,15,10768,157,14,13,5,2,0,7010,125130,22087,12757,3082,6248,16686,10838,15327,3252,0,3,1,2,True,1420,False,False,False,False,2,8,2,1,0,0,0,0,,22,668,2,4,89,43,60,17,2,2
68,all_matches.json,,,9,KMf7-5qBrbJ-kiJp-yOHSJEs6GjsJLX3VQ8z43yD-2_Wpk6IvoSgjB31U4JSQiZn2ZUnMitOwpps_w,221,200,BOTTOM,5,13,1,15,14961,212,28,21,8,1,6,4649,179548,26289,7741,17949,598,12275,5072,24728,6138,2,4,0,1,True,1420,True,False,True,False,1,13,2,1,0,0,0,0,,22,1358,1,2,626,51,38,7,4,3
69,all_matches.json,,,10,kiZo6UwvvewDAbD-gSTQWPDqQaPBjMXBuhxGBx5-6k09OFKyZ4vGe15-x-H4if8Mhf7gR3efs-K8SQ,111,200,UTILITY,16,2,1,13,7647,23,0,71,30,6,7,1363,22183,8262,5020,2657,584,9886,17209,6074,3392,1,4,0,2,True,1420,False,True,False,False,0,0,1,0,0,0,0,0,,25,495,6,8,52,34,34,6,11,5
